,Station ID,XCNAQ1241,CN_1018A,CN_1015A,XCNAQ1326,CN_1019A,CN_1016A,XCNAQ1110,CN_1027A,XCNAQ1323,XCNAQ1189,CN_1017A,CN_1020A,XCNAQ1188,CN_1013A,XCNAQ1325,CN_1014A,CN_1022A,CN_1024A,CN_1026A,XCNAQ1186,XCNAQ1187,XCNAQ1320,XCNAQ1319,XCNAQ1322,XCNAQ1324,CN_1025A,CN_1023A,XCNAQ1116,XCNAQ1263,CN_1021A,XCNAQ1321,XCNAQ1516,XCNAQ1520
0,Latitude,39.1696,39.0927,39.1654,40.0417,39.2261,39.1205,39.1782,38.9194,39.0209,39.1066,39.1081,39.1337,39.0845,39.0970,38.8451,39.1730,39.0600,38.8394,39.1587,39.2474,38.9846,39.0784,39.2132,39.6939,39.3281,39.1240,39.0343,39.1303,39.1495,39.0877,39.3840,39.1938,39.5594
1,Longitude,117.2099,117.2020,117.1450,117.4444,117.1850,117.1840,117.1901,117.1570,117.6503,117.1941,117.2370,117.2690,117.1589,117.1510,116.7794,117.1930,117.2210,117.4570,117.7640,117.7918,117.3747,117.0901,117.1837,117.2937,117.8165,117.4010,117.7070,117.4029,117.3916,117.3070,117.0426,117.0838,116.8425
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
31,2013/01/29 00:00:00,-99999.0000,2.1471,24.0221,-99999.0000,4.3831,2.6148,-99999.0000,-99999.0000,-99999.0000,-99999.0000,15.7313,2.6361,-99999.0000,3.7570,-99999.0000,1.7219,3.6777,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,6.1650,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
32,2013/01/30 00:00:00,-99999.0000,1.6415,26.0426,-99999.0000,4.2813,2.2626,-99999.0000,-99999.0000,-99999.0000,-99999.0000,19.3878,2.8838,-99999.0000,2.4845,-99999.0000,2.5288,2.3514,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.7010,-99999.0000,-99999.0000,-99999.0000,8.4013,-99999.0000,-99999.0000,-99999.0000
33,2013/01/31 00:00:00,-99999.0000,2.1295,22.7152,-99999.0000,4.3700,2.4401,-99999.0000,-99999.0000,-99999.0000,-99999.0000,12.3336,2.8394,-99999.0000,2.4623,-99999.0000,1.3753,3.3914,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,6.6992,-99999.0000,-99999.0000,-99999.0000,7.1729,-99999.0000,-99999.0000,-99999.0000
34,2013/02/01 00:00:00,-99999.0000,14.2219,33.7585,-99999.0000,18.3163,16.1990,-99999.0000,-99999.0000,-99999.0000,-99999.0000,16.3053,17.5383,-99999.0000,16.3478,-99999.0000,8.3971,17.0706,-99999.0000,11.0261,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,24.5536,-99999.0000,-99999.0000,-99999.0000,17.1053,-99999.0000,-99999.0000,-99999.0000
35,2013/02/02 00:00:00,-99999.0000,8.2270,30.3359,-99999.0000,7.1429,8.7585,-99999.0000,-99999.0000,-99999.0000,-99999.0000,18.4099,8.4609,-99999.0000,10.3742,-99999.0000,5.4422,10.9361,-99999.0000,8.0145,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,12.1173,-99999.0000,-99999.0000,-99999.0000,8.2438,-99999.0000,-99999.0000,-99999.0000
36,2013/02/03 00:00:00,-99999.0000,6.9515,27.9975,-99999.0000,-99999.0000,7.1003,-99999.0000,-99999.0000,-99999.0000,-99999.0000,18.9413,7.4617,-99999.0000,8.4396,-99999.0000,5.4209,9.5238,-99999.0000,3.6777,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,11.9473,-99999.0000,-99999.0000,-99999.0000,8.4184,-99999.0000,-99999.0000,-99999.0000
37,2013/02/04 00:00:00,-99999.0000,-99999.0000,40.5868,-99999.0000,-99999.0000,23.5137,-99999.0000,-99999.0000,-99999.0000,-99999.0000,25.8430,24.0461,-99999.0000,24.6007,-99999.0000,18.1012,-99999.0000,-99999.0000,16.6149,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,30.9893,-99999.0000,-99999.0000,-99999.0000,20.3401,-99999.0000,-99999.0000,-99999.0000
38,2013/02/05 00:00:00,-99999.0000,14.8191,39.9022,-99999.0000,-99999.0000,16.3265,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,14.6684,-99999.0000,21.5774,-99999.0000,13.5842,18.6437,-99999.0000,11.7135,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,15.7525,-99999.0000,-99999.0000,-99999.0000,15.5102,-99999.0000,-99999.0000,-99999.0000
39,2013/02/06 00:00:00,-99999.0000,20.3444,47.4704,-99999.0000,29.2813,25.1275,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,26.5306,-99999.0000,23.8733,-99999.0000,20.0042,-99999.0000,24.7085,24.9150,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,31.4413,-99999.0000,-99999.0000,-99999.0000,19.8979,-99999.0000,-99999.0000,-99999.0000
40,2013/02/07 00:00:00,-99999.0000,17.9902,39.2192,-99999.0000,22.7152,23.3141,-99999.0000,-99999.0000,-99999.0000,-99999.0000,18.7925,21.6726,-99999.0000,18.1899,-99999.0000,15.0843,20.2529,19.6540,20.3416,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,29.1260,29.9219,-99999.0000,-99999.0000,18.8775,-99999.0000,-99999.0000,-99999.0000
