Timestamp,O3,PM2.5,NO2,SO2,Pressure,RH,Temperature,Wind Speed,O3BL,PMBL,NO2BL,SO2BL,PBL,rhbl,TBL,WSBL,ln(O3)-O3BL,ln(PM)-PMBL,ln(NO2)-NO2BL,ln(SO2)-SO2BL,ln(P)-PBL,ln(rh)-rhbl,ln(T)-TBL,ln(WS)-WSBL
2001/01/23,0,28.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/24,0,24.1666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/25,0,23.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/26,0,9.49739583333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/27,0,23.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/28,0,23.2916666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/29,0,45.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/30,0,36.2083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/31,0,22.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/01,0,30.0208333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/02,0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/03,0,24.7916666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/04,0,26.2916666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/05,0,16.1666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/06,0,23.8333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/07,0,21.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/08,0,25.1666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/09,0,31.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/10,0,22.2916666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/11,0,28.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/12,0,27.7916666666,0,0,0,0,0,0,0,3.38706272493,0,0,0,0,0,0,0,-0.0623265093,0,0,0,0,0,0
2001/02/13,0,19.0,0,0,0,0,0,0,0,3.39279870372,0,0,0,0,0,0,0,-0.4483597245,0,0,0,0,0,0
2001/02/14,0,19.0416666666,0,0,0,0,0,0,0,3.39892486992,0,0,0,0,0,0,0,-0.4522953093,0,0,0,0,0,0
2001/02/15,0,31.6041666666,0,0,0,0,0,0,0,3.40534159221,0,0,0,0,0,0,0,0.04794737622,0,0,0,0,0,0
2001/02/16,0,47.0416666666,0,0,0,0,0,0,0,3.41202525320,0,0,0,0,0,0,0,0.43900848059,0,0,0,0,0,0
2001/02/17,0,59.5,0,0,0,0,0,0,0,3.41893809163,0,0,0,0,0,0,0,0.66703822091,0,0,0,0,0,0
2001/02/18,0,34.3125,0,0,0,0,0,0,0,3.42594816977,0,0,0,0,0,0,0,0.10956154949,0,0,0,0,0,0
