,Station ID,XCNAQ045,XCNAQ041,CN_1001A,CN_1003A,XCNAQ005,XCNAQ004,XCNAQ009,XCNAQ038,XCNAQ1317,XCNAQ039,XCNAQ1313,XCNAQ1318,XCNAQ040,CN_1005A,XCNAQ003,XCNAQ1316,CN_1012A,XCNAQ1314,CN_1004A,CN_1011A,CN_1006A,CN_1002A,XCNAQ014,XCNAQ012,XCNAQ446,CN_1009A,CN_1010A,CN_1007A,XCNAQ007,XCNAQ1315,CN_1008A,XCNAQ010,XCNAQ044,XCNAQ013,XCNAQ1523,XCNAQ016,XCNAQ015,XCNAQ042,XCNAQ002,XCNAQ043,XCNAQ008,XCNAQ006
21,2013/01/19 00:00:00,126.0833,106.9583,102.7500,111.2083,114.7083,128.0417,141.8750,179.3333,-99999.0000,91.4000,-99999.0000,-99999.0000,202.3333,102.7826,178.2917,-99999.0000,121.5417,-99999.0000,111.7083,105.7083,96.9167,125.0000,151.5000,228.1579,-99999.0000,136.3333,152.3333,105.9583,159.2500,-99999.0000,206.5833,153.9130,127.3333,118.8750,-99999.0000,103.3333,94.0833,112.0833,100.4167,47.7500,148.7083,-99999.0000
22,2013/01/20 00:00:00,127.7083,122.0833,127.8333,114.7083,117.4583,99.1667,140.2917,149.9583,-99999.0000,197.1250,-99999.0000,-99999.0000,107.7500,122.4167,122.2917,-99999.0000,98.5000,-99999.0000,124.6667,111.2500,109.2083,97.8095,121.0000,191.4211,-99999.0000,153.6667,107.7917,101.5833,105.0435,-99999.0000,146.6250,139.3333,130.0833,109.3750,-99999.0000,86.7083,125.6250,134.0870,87.7917,39.3333,149.7083,-99999.0000
23,2013/01/21 00:00:00,140.3913,95.6667,97.7391,84.5000,104.2174,126.0833,211.8261,146.1176,-99999.0000,291.1739,-99999.0000,-99999.0000,183.6522,93.8696,151.7727,-99999.0000,111.1304,-99999.0000,88.2917,89.9583,77.5000,32.3333,57.5652,191.8125,-99999.0000,98.4348,59.0435,80.9130,157.2174,-99999.0000,98.9583,204.3333,113.4348,50.5417,-99999.0000,28.3913,113.5217,100.0909,46.9130,46.3750,222.7500,70.6250
24,2013/01/22 00:00:00,274.1304,236.4348,242.3333,253.3333,187.7826,243.7826,259.0000,261.1000,-99999.0000,233.8261,-99999.0000,-99999.0000,271.8696,257.7083,13.5882,-99999.0000,248.0000,-99999.0000,249.5833,240.4167,252.7500,187.6111,154.9565,291.6500,-99999.0000,173.0000,194.5833,233.0000,230.0870,-99999.0000,227.0833,313.0000,257.6522,130.4783,-99999.0000,88.2609,-99999.0000,247.1739,208.4348,262.3478,106.3913,205.5217
25,2013/01/23 00:00:00,259.3478,229.9565,197.8333,221.3333,201.4783,168.5652,200.8696,232.3478,-99999.0000,170.2609,-99999.0000,-99999.0000,204.6957,233.1250,222.3043,-99999.0000,211.3750,-99999.0000,202.5833,242.1739,217.5417,157.6316,182.4783,263.4375,-99999.0000,190.4583,182.3750,222.5000,173.1818,-99999.0000,214.5417,192.7826,229.0435,157.3636,-99999.0000,62.8696,84.9474,213.0435,202.4348,246.3913,-99999.0000,186.6522
26,2013/01/24 00:00:00,27.8750,38.0417,37.6250,19.9583,41.5652,103.4167,69.8333,14.2222,-99999.0000,64.9167,-99999.0000,-99999.0000,212.4583,22.0833,26.2917,-99999.0000,36.5417,-99999.0000,36.1250,17.4583,18.9583,15.1429,8.8750,29.3158,-99999.0000,17.4167,14.2917,17.4167,161.7917,-99999.0000,13.1304,102.5417,54.2917,6.9167,-99999.0000,11.6667,16.1667,40.9583,13.6250,16.7500,-99999.0000,20.9048
27,2013/01/25 00:00:00,113.2500,73.4167,83.3750,83.7917,86.0417,66.0000,82.2083,54.0000,-99999.0000,123.0417,-99999.0000,-99999.0000,105.0000,91.5833,87.5000,-99999.0000,81.2083,-99999.0000,73.5000,80.4583,81.1667,72.5000,47.8750,76.4444,-99999.0000,58.7083,66.7083,83.8750,100.0417,-99999.0000,57.8750,111.8333,98.3913,37.4167,-99999.0000,67.1250,87.2500,82.7500,76.2917,83.7083,-99999.0000,77.6667
28,2013/01/26 00:00:00,183.9130,161.6957,161.5833,160.1667,168.3478,150.9130,168.6522,111.3913,-99999.0000,200.5217,-99999.0000,-99999.0000,202.3478,162.0417,184.9130,-99999.0000,152.3333,-99999.0000,160.1667,163.7500,149.3333,145.4375,85.5652,133.8750,-99999.0000,103.5417,135.2083,154.4167,174.9545,-99999.0000,144.2917,187.8696,180.5652,64.2174,-99999.0000,84.3478,104.8696,163.1304,126.1304,160.9565,-99999.0000,137.3043
29,2013/01/27 00:00:00,293.0417,295.6250,286.1250,284.1667,288.8333,277.7500,266.0417,218.0909,-99999.0000,251.5000,-99999.0000,-99999.0000,318.0417,272.8750,330.0417,-99999.0000,292.7500,-99999.0000,288.2500,286.8750,279.2917,261.7778,212.9583,258.7368,-99999.0000,240.0833,269.0417,292.2500,298.4583,-99999.0000,250.8333,263.7083,296.6250,174.1250,-99999.0000,207.8750,201.5833,291.7083,288.0000,296.0000,-99999.0000,276.8333
30,2013/01/28 00:00:00,400.9583,369.1667,347.7826,380.7917,347.7391,318.0833,288.8333,321.9565,-99999.0000,304.1250,-99999.0000,-99999.0000,314.2500,367.2174,389.1667,-99999.0000,354.6250,-99999.0000,375.0417,383.1250,363.7826,249.0000,275.4583,350.5789,-99999.0000,303.0417,350.1667,375.4583,331.5417,-99999.0000,357.7500,303.0000,339.0000,257.7500,-99999.0000,164.2083,241.4167,336.5833,343.0417,401.9130,312.1818,332.6250
