,Station ID,CB_R,CL_R,CW_A,EN_A,PH1,PH5,PHSUP,KC_A,KT_A,MKaR,ST_A,SP_A,TP_A,MB_A,TK_A,TW_A,TM_A,TC_A,YL_A,XCNAQ259
75,2013/03/14 00:00:00,47.7500,37.6250,48.8000,33.4583,-99999.0000,-99999.0000,-99999.0000,43.1250,31.1250,43.9167,38.7917,36.0417,40.0417,35.2917,-99999.0000,38.0000,-99999.0000,32.5833,42.1304,-99999.0000
76,2013/03/15 00:00:00,53.2083,42.7500,54.2083,37.8750,-99999.0000,-99999.0000,-99999.0000,47.4286,39.2727,46.7500,43.5000,40.1250,46.1667,39.2917,-99999.0000,42.0833,-99999.0000,32.9583,46.5000,-99999.0000
77,2013/03/16 00:00:00,52.0417,40.2500,53.1250,36.8333,-99999.0000,-99999.0000,-99999.0000,40.2500,38.6667,47.5000,39.5833,38.8750,42.7500,38.7500,-99999.0000,34.9167,-99999.0000,27.8333,36.8750,-99999.0000
78,2013/03/17 00:00:00,49.0833,39.7083,48.1667,33.0417,-99999.0000,-99999.0000,-99999.0000,34.1667,30.4167,41.1250,30.0417,34.7917,29.5833,29.1667,-99999.0000,35.7500,-99999.0000,18.5000,26.9583,-99999.0000
79,2013/03/18 00:00:00,40.3636,36.7500,36.6087,22.0833,-99999.0000,-99999.0000,-99999.0000,35.0000,27.1250,28.7500,23.2500,27.4583,27.2500,24.6250,-99999.0000,29.9167,-99999.0000,18.5000,23.5000,-99999.0000
80,2013/03/19 00:00:00,35.0833,25.0455,21.2500,14.9167,-99999.0000,-99999.0000,-99999.0000,22.9583,20.0417,23.2500,15.9583,18.3333,15.9167,14.9167,-99999.0000,20.4167,-99999.0000,9.9583,18.7083,-99999.0000
81,2013/03/20 00:00:00,41.2500,32.3913,31.0417,17.1739,-99999.0000,-99999.0000,-99999.0000,22.7917,24.4583,22.5000,20.7083,21.8750,25.8333,23.0000,-99999.0000,19.9167,-99999.0000,23.7500,25.9583,-99999.0000
82,2013/03/21 00:00:00,49.4167,41.1000,45.6667,35.1667,-99999.0000,-99999.0000,-99999.0000,33.9583,34.7917,37.9167,32.9583,34.9583,34.2917,38.7500,-99999.0000,31.4167,-99999.0000,24.6364,30.2917,-99999.0000
83,2013/03/22 00:00:00,57.9583,48.2500,58.5833,37.4583,-99999.0000,-99999.0000,-99999.0000,44.7917,36.8750,45.6522,36.2917,39.2917,40.3750,34.7500,-99999.0000,42.6667,-99999.0000,21.2500,36.6667,-99999.0000
84,2013/03/23 00:00:00,46.0417,40.9583,40.6667,21.6250,-99999.0000,-99999.0000,-99999.0000,32.3333,29.1250,31.7083,26.0833,31.3750,23.3333,21.7917,-99999.0000,27.7917,-99999.0000,17.1667,23.2083,-99999.0000
85,2013/03/24 00:00:00,50.5417,45.4167,40.7500,26.9583,-99999.0000,-99999.0000,-99999.0000,33.1250,26.8750,32.0833,23.5417,33.2500,-99999.0000,24.2083,-99999.0000,28.9167,-99999.0000,17.7083,21.8750,-99999.0000
86,2013/03/25 00:00:00,41.7826,31.6250,37.9583,30.5909,-99999.0000,-99999.0000,-99999.0000,29.5000,27.3750,34.3333,27.0417,30.8182,25.6500,30.9583,-99999.0000,27.7500,-99999.0000,21.7500,27.9167,-99999.0000
87,2013/03/26 00:00:00,33.8333,25.4500,29.2083,22.4545,-99999.0000,-99999.0000,-99999.0000,19.7391,21.2609,25.3889,16.9583,22.6667,23.3913,22.2917,-99999.0000,17.6190,-99999.0000,17.1250,21.2174,-99999.0000
