,Station ID,XCNAQ1067,XCNAQ1066,XCNAQ1068,XCNAQ346,XCNAQ1063,XCNAQ1065,XCNAQ1064,XCNAQ1071,XCNAQ1070,XCNAQ1069,XCNAQ2872,XCNAQ2873,XCNAQ017,XCNAQ478,XCNAQ1213,CN_1489A,CN_1487A,CN_1486A,XCNAQ1214,XCNAQ1212,CN_1488A,CN_1484A,CN_1485A
0,Latitude,37.0172,37.4514,37.5002,39.1447,37.9647,37.9722,37.9844,36.0210,36.0022,36.1417,39.0153,39.2282,38.8170,39.1292,38.4841,38.5036,38.4858,38.4536,38.4949,38.4413,38.4975,38.6016,38.4744
1,Longitude,105.1800,105.0197,105.1971,106.6752,106.1532,106.1960,106.2025,106.2375,106.2792,106.2319,106.3717,106.7704,106.3394,106.7097,106.2739,106.1358,106.0720,106.2170,106.1024,106.2275,106.2328,105.9512,106.2680
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
2075,2018/09/04 00:00:00,19.4167,15.6957,16.7500,13.8261,18.6316,32.2174,18.6250,13.5000,16.0455,18.1818,24.2500,13.8261,23.9167,-99999.0000,19.6667,25.2174,-99999.0000,-99999.0000,33.0833,23.6667,25.4348,17.4583,-99999.0000
2076,2018/09/05 00:00:00,11.1739,9.0417,9.7500,27.7778,15.5652,20.7500,15.1304,9.5000,11.8750,16.9167,23.2222,27.7778,15.6111,-99999.0000,27.2500,29.8125,-99999.0000,-99999.0000,31.6000,23.4375,35.6250,19.1333,-99999.0000
2077,2018/09/06 00:00:00,16.7917,10.6667,11.7895,11.1905,11.6522,12.3043,14.3913,13.3529,13.4091,20.0909,8.6190,11.1905,8.3810,-99999.0000,15.0000,15.6190,-99999.0000,-99999.0000,23.1905,13.4286,22.6190,18.7143,-99999.0000
2078,2018/09/07 00:00:00,18.7500,11.8261,16.4375,14.0833,18.5833,13.0000,16.3750,10.1667,12.0833,14.4583,18.6250,14.0833,20.2083,-99999.0000,26.1250,19.1250,-99999.0000,-99999.0000,31.2917,25.7826,31.2500,17.6667,-99999.0000
2079,2018/09/08 00:00:00,19.4583,15.7500,14.6667,9.7083,12.5833,10.7083,12.5417,12.7500,14.2083,14.5417,17.5652,9.7083,17.7917,-99999.0000,22.2917,22.0417,-99999.0000,-99999.0000,31.0417,18.0833,29.5000,21.0000,-99999.0000
2080,2018/09/09 00:00:00,27.2083,28.5000,27.3750,20.0833,16.4167,15.4583,18.6250,18.0000,19.1250,18.9167,24.6667,20.0833,19.3750,25.8571,25.9583,26.4583,-99999.0000,-99999.0000,36.4167,23.6250,28.0833,24.2917,-99999.0000
2081,2018/09/10 00:00:00,31.7727,16.3750,21.2174,24.2917,21.9167,15.3750,21.6250,12.8182,12.3182,9.6667,42.8696,24.2917,31.7826,26.6250,27.0952,29.3750,-99999.0000,-99999.0000,44.7500,27.7391,32.2500,31.2083,-99999.0000
2082,2018/09/11 00:00:00,35.5714,-99999.0000,28.5000,28.7619,30.5714,24.0000,24.0667,12.5714,15.8571,12.3684,47.0000,29.0909,32.3043,25.5455,28.2174,27.0000,-99999.0000,-99999.0000,41.5652,31.3043,28.0526,31.0588,-99999.0000
2083,2018/09/12 00:00:00,27.4167,25.0455,23.5833,16.9583,20.3333,21.3750,26.3810,18.7917,21.8750,18.7083,35.5417,16.9583,21.5417,19.3333,26.9583,30.8750,-99999.0000,-99999.0000,39.6087,29.4583,31.6818,24.8636,-99999.0000
2084,2018/09/13 00:00:00,25.4167,22.8750,22.4583,20.7917,24.2727,24.8333,27.1667,19.4167,21.5000,25.5000,28.5417,20.7917,24.2917,20.3333,26.2500,27.2174,-99999.0000,-99999.0000,35.7083,21.3333,27.2500,28.5000,-99999.0000
2085,2018/09/14 00:00:00,18.6250,15.2917,16.2917,18.2917,9.6250,12.1667,12.3750,14.3750,13.8333,20.8261,14.5000,18.2917,9.7500,15.3750,25.0833,26.6667,-99999.0000,-99999.0000,36.7500,25.3333,32.4091,27.7500,-99999.0000
2086,2018/09/15 00:00:00,14.5000,19.4167,14.5833,28.5217,9.5417,9.8333,10.1250,8.6667,-99999.0000,13.6667,15.7500,28.5217,11.3333,20.1667,17.9583,14.6667,-99999.0000,-99999.0000,24.1667,11.6250,22.6667,23.3750,-99999.0000
2087,2018/09/16 00:00:00,14.5000,10.5714,8.7917,15.0476,11.5417,9.3333,10.8333,7.5833,9.9333,10.0417,25.6667,15.0476,16.2917,19.8750,26.6250,22.8333,-99999.0000,-99999.0000,31.2500,21.0833,30.7917,20.2083,-99999.0000
2088,2018/09/17 00:00:00,16.5833,8.5417,12.5417,9.4211,15.2917,18.0000,18.6250,12.5417,9.5000,12.3750,20.1765,9.5833,39.0833,13.1250,19.1250,25.2917,-99999.0000,-99999.0000,34.4583,19.7500,29.5833,31.0417,-99999.0000
2089,2018/09/18 00:00:00,29.5417,-99999.0000,27.0000,53.9167,39.0870,43.8696,58.2667,6.7500,8.0000,8.9091,54.3478,53.9167,57.2500,-99999.0000,-99999.0000,43.6364,-99999.0000,-99999.0000,64.1739,25.9565,50.4348,47.4667,-99999.0000
2090,2018/09/19 00:00:00,22.0000,7.0000,13.5417,55.0870,21.5000,22.0000,22.5238,15.2917,19.0833,20.5833,46.0870,55.0870,43.4583,47.0909,39.5833,36.8261,-99999.0000,-99999.0000,54.9565,32.3333,46.7917,32.2222,-99999.0000
2091,2018/09/20 00:00:00,32.6667,-99999.0000,25.3333,32.3478,26.8095,20.9048,22.6000,17.0000,19.6667,23.3333,23.9583,32.3478,31.0417,22.5000,42.9583,33.4583,-99999.0000,-99999.0000,44.1250,55.9524,45.0000,35.6957,-99999.0000
