,Station ID,MACG,XCNAQ2815
0,Latitude,22.1600,22.1179
1,Longitude,113.5651,113.5438
2,Time,--------,--------
160,2013/06/07 00:00:00,10.2500,-99999.0000
161,2013/06/08 00:00:00,7.2083,-99999.0000
162,2013/06/09 00:00:00,10.5833,-99999.0000
163,2013/06/10 00:00:00,20.2083,-99999.0000
164,2013/06/11 00:00:00,17.4583,-99999.0000
165,2013/06/12 00:00:00,32.9167,-99999.0000
166,2013/06/13 00:00:00,26.2609,-99999.0000
167,2013/06/14 00:00:00,17.7083,-99999.0000
168,2013/06/15 00:00:00,3.3750,-99999.0000
169,2013/06/16 00:00:00,8.4583,-99999.0000
170,2013/06/17 00:00:00,6.2500,-99999.0000
171,2013/06/18 00:00:00,5.3750,-99999.0000
172,2013/06/19 00:00:00,7.7391,-99999.0000
173,2013/06/20 00:00:00,7.2083,-99999.0000
174,2013/06/21 00:00:00,11.8696,-99999.0000
175,2013/06/22 00:00:00,7.5652,-99999.0000
176,2013/06/23 00:00:00,4.9583,-99999.0000
177,2013/06/24 00:00:00,17.2917,-99999.0000
178,2013/06/25 00:00:00,34.2917,-99999.0000
179,2013/06/26 00:00:00,27.8750,-99999.0000
180,2013/06/27 00:00:00,19.7083,-99999.0000
181,2013/06/28 00:00:00,17.8333,-99999.0000
182,2013/06/29 00:00:00,16.1667,-99999.0000
183,2013/06/30 00:00:00,18.8750,-99999.0000
184,2013/07/01 00:00:00,9.0000,-99999.0000
185,2013/07/02 00:00:00,11.3333,-99999.0000
186,2013/07/03 00:00:00,10.2917,-99999.0000
187,2013/07/04 00:00:00,6.7917,-99999.0000
188,2013/07/05 00:00:00,6.8333,-99999.0000
189,2013/07/06 00:00:00,2.8333,-99999.0000
190,2013/07/07 00:00:00,0.2083,-99999.0000
191,2013/07/08 00:00:00,2.9583,-99999.0000
192,2013/07/09 00:00:00,3.0833,-99999.0000
193,2013/07/10 00:00:00,6.7917,-99999.0000
194,2013/07/11 00:00:00,8.7826,-99999.0000
195,2013/07/12 00:00:00,15.5652,-99999.0000
196,2013/07/13 00:00:00,19.5417,-99999.0000
197,2013/07/14 00:00:00,6.8750,-99999.0000
198,2013/07/15 00:00:00,4.4167,-99999.0000
199,2013/07/16 00:00:00,1.3750,-99999.0000
200,2013/07/17 00:00:00,2.3043,-99999.0000
201,2013/07/18 00:00:00,15.6667,-99999.0000
202,2013/07/19 00:00:00,6.2609,-99999.0000
203,2013/07/20 00:00:00,5.7083,-99999.0000
204,2013/07/21 00:00:00,6.1667,-99999.0000
